,project,group,sample,group_idx,type
461,panlab,ALL-TLS_238,P2,2,P2
462,panlab,ALL-TLS_238,P3,3,P3
463,panlab,ALL-TLS_238,P4,4,P4
464,panlab,ALL-TLS_239,HE,0,HE
465,panlab,ALL-TLS_239,P1,1,P1
466,panlab,ALL-TLS_239,P2,2,P2
467,panlab,ALL-TLS_239,P3,3,P3
468,panlab,ALL-TLS_239,P4,4,P4
469,panlab,ALL-TLS_24,HE,0,HE
470,panlab,ALL-TLS_24,P1,1,P1
471,panlab,ALL-TLS_24,P2,2,P2
472,panlab,ALL-TLS_24,P3,3,P3
473,panlab,ALL-TLS_24,P4,4,P4
474,panlab,ALL-TLS_240,HE,0,HE
475,panlab,ALL-TLS_240,P1,1,P1
476,panlab,ALL-TLS_240,P2,2,P2
477,panlab,ALL-TLS_240,P3,3,P3
478,panlab,ALL-TLS_240,P4,4,P4
479,panlab,ALL-TLS_242,HE,0,HE
480,panlab,ALL-TLS_242,P1,1,P1
481,panlab,ALL-TLS_242,P2,2,P2
482,panlab,ALL-TLS_242,P3,3,P3
483,panlab,ALL-TLS_242,P4,4,P4
484,panlab,ALL-TLS_243,HE,0,HE
485,panlab,ALL-TLS_243,P1,1,P1
486,panlab,ALL-TLS_243,P2,2,P2
487,panlab,ALL-TLS_243,P3,3,P3
488,panlab,ALL-TLS_243,P4,4,P4
489,panlab,ALL-TLS_244,HE,0,HE
490,panlab,ALL-TLS_244,P1,1,P1
491,panlab,ALL-TLS_244,P2,2,P2
492,panlab,ALL-TLS_244,P3,3,P3
493,panlab,ALL-TLS_244,P4,4,P4
494,panlab,ALL-TLS_245,HE,0,HE
495,panlab,ALL-TLS_245,P1,1,P1
496,panlab,ALL-TLS_245,P2,2,P2
497,panlab,ALL-TLS_245,P3,3,P3
498,panlab,ALL-TLS_245,P4,4,P4
499,panlab,ALL-TLS_248,HE,0,HE
500,panlab,ALL-TLS_248,P1,1,P1
501,panlab,ALL-TLS_248,P2,2,P2
502,panlab,ALL-TLS_248,P3,3,P3
503,panlab,ALL-TLS_248,P4,4,P4
504,panlab,ALL-TLS_249,HE,0,HE
505,panlab,ALL-TLS_249,P1,1,P1
506,panlab,ALL-TLS_249,P2,2,P2
507,panlab,ALL-TLS_249,P3,3,P3
